                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                  2e-05,                      1,                      1,                 0.2654,              0.0065845,              0.0065845,              0.0065845
                     72,                  4e-05,                      1,                      1,                0.26539,               0.006535,               0.006535,               0.006535
                     73,                  2e-05,                      1,                      1,                0.26539,              0.0064855,              0.0064855,              0.0064855
                     74,                  5e-05,                      1,                      1,                0.26539,               0.006436,               0.006436,               0.006436
                     75,                  6e-05,                      1,                      1,                0.26539,              0.0063865,              0.0063865,              0.0063865
                     76,                  5e-05,                      1,                      1,                0.26538,               0.006337,               0.006337,               0.006337
                     77,                  7e-05,                      1,                      1,                0.26538,              0.0062875,              0.0062875,              0.0062875
                     78,                  4e-05,                      1,                      1,                0.26539,               0.006238,               0.006238,               0.006238
                     79,                  2e-05,                      1,                      1,                0.26539,              0.0061885,              0.0061885,              0.0061885
                     80,                  2e-05,                      1,                      1,                0.26539,               0.006139,               0.006139,               0.006139
                     81,                  3e-05,                      1,                      1,                0.26538,              0.0060895,              0.0060895,              0.0060895
                     82,                  5e-05,                      1,                      1,                0.26538,                0.00604,                0.00604,                0.00604
                     83,                  4e-05,                      1,                      1,                0.26538,              0.0059905,              0.0059905,              0.0059905
                     84,                  3e-05,                      1,                      1,                0.26538,               0.005941,               0.005941,               0.005941
                     85,                  1e-05,                      1,                      1,                0.26538,              0.0058915,              0.0058915,              0.0058915
                     86,                  2e-05,                      1,                      1,                0.26538,               0.005842,               0.005842,               0.005842
                     87,                  4e-05,                      1,                      1,                0.26538,              0.0057925,              0.0057925,              0.0057925
                     88,                  4e-05,                      1,                      1,                0.26538,               0.005743,               0.005743,               0.005743
                     89,                  8e-05,                      1,                      1,                0.26538,              0.0056935,              0.0056935,              0.0056935
                     90,                  3e-05,                      1,                      1,                0.26539,               0.005644,               0.005644,               0.005644
                     91,                  3e-05,                      1,                      1,                0.26539,              0.0055945,              0.0055945,              0.0055945
                     92,                  1e-05,                      1,                      1,                0.26539,               0.005545,               0.005545,               0.005545
                     93,                  4e-05,                      1,                      1,                0.26539,              0.0054955,              0.0054955,              0.0054955
                     94,                  4e-05,                      1,                      1,                0.26539,               0.005446,               0.005446,               0.005446
                     95,                  4e-05,                      1,                      1,                0.26539,              0.0053965,              0.0053965,              0.0053965
                     96,                  3e-05,                      1,                      1,                0.26539,               0.005347,               0.005347,               0.005347
                     97,                  1e-05,                      1,                      1,                0.26539,              0.0052975,              0.0052975,              0.0052975
                     98,                  2e-05,                      1,                      1,                0.26539,               0.005248,               0.005248,               0.005248
                     99,                  5e-05,                      1,                      1,                0.26539,              0.0051985,              0.0051985,              0.0051985
                    100,                  5e-05,                      1,                      1,                0.26538,               0.005149,               0.005149,               0.005149
                    101,                  2e-05,                      1,                      1,                0.26538,              0.0050995,              0.0050995,              0.0050995
                    102,                  3e-05,                      1,                      1,                0.26538,                0.00505,                0.00505,                0.00505
                    103,                  4e-05,                      1,                      1,                0.26539,              0.0050005,              0.0050005,              0.0050005
                    104,                  2e-05,                      1,                      1,                0.26538,               0.004951,               0.004951,               0.004951
                    105,                  1e-05,                      1,                      1,                0.26538,              0.0049015,              0.0049015,              0.0049015
                    106,                  6e-05,                      1,                      1,                0.26538,               0.004852,               0.004852,               0.004852
                    107,                  2e-05,                      1,                      1,                0.26538,              0.0048025,              0.0048025,              0.0048025
                    108,                  6e-05,                      1,                      1,                0.26538,               0.004753,               0.004753,               0.004753
                    109,                  6e-05,                      1,                      1,                0.26538,              0.0047035,              0.0047035,              0.0047035
                    110,                  2e-05,                      1,                      1,                0.26538,               0.004654,               0.004654,               0.004654
                    111,                  2e-05,                      1,                      1,                0.26538,              0.0046045,              0.0046045,              0.0046045
                    112,                  3e-05,                      1,                      1,                0.26538,               0.004555,               0.004555,               0.004555
                    113,                  3e-05,                      1,                      1,                0.26538,              0.0045055,              0.0045055,              0.0045055
                    114,                  4e-05,                      1,                      1,                0.26538,               0.004456,               0.004456,               0.004456
                    115,                  5e-05,                      1,                      1,                0.26538,              0.0044065,              0.0044065,              0.0044065
                    116,                  2e-05,                      1,                      1,                0.26538,               0.004357,               0.004357,               0.004357
                    117,                  1e-05,                      1,                      1,                0.26538,              0.0043075,              0.0043075,              0.0043075
                    118,                  6e-05,                      1,                      1,                0.26538,               0.004258,               0.004258,               0.004258
                    119,                  2e-05,                      1,                      1,                0.26538,              0.0042085,              0.0042085,              0.0042085
                    120,                  7e-05,                      1,                      1,                0.26538,               0.004159,               0.004159,               0.004159
                    121,                  1e-05,                      1,                      1,                0.26538,              0.0041095,              0.0041095,              0.0041095
                    122,                 0.0001,                      1,                      1,                0.26538,                0.00406,                0.00406,                0.00406
                    123,                  3e-05,                      1,                      1,                0.26538,              0.0040105,              0.0040105,              0.0040105
                    124,                  3e-05,                      1,                      1,                0.26538,               0.003961,               0.003961,               0.003961
                    125,                  2e-05,                      1,                      1,                0.26538,              0.0039115,              0.0039115,              0.0039115
                    126,                  5e-05,                      1,                      1,                0.26538,               0.003862,               0.003862,               0.003862
                    127,                  2e-05,                      1,                      1,                0.26538,              0.0038125,              0.0038125,              0.0038125
                    128,                  1e-05,                      1,                      1,                0.26538,               0.003763,               0.003763,               0.003763
                    129,                  4e-05,                      1,                      1,                0.26538,              0.0037135,              0.0037135,              0.0037135
                    130,                  4e-05,                      1,                      1,                0.26538,               0.003664,               0.003664,               0.003664
                    131,                  1e-05,                      1,                      1,                0.26538,              0.0036145,              0.0036145,              0.0036145
                    132,                  1e-05,                      1,                      1,                0.26538,               0.003565,               0.003565,               0.003565
                    133,                  1e-05,                      1,                      1,                0.26538,              0.0035155,              0.0035155,              0.0035155
                    134,                  1e-05,                      1,                      1,                0.26538,               0.003466,               0.003466,               0.003466
                    135,                  3e-05,                      1,                      1,                0.26538,              0.0034165,              0.0034165,              0.0034165
                    136,                  3e-05,                      1,                      1,                0.26538,               0.003367,               0.003367,               0.003367
                    137,                  2e-05,                      1,                      1,                0.26538,              0.0033175,              0.0033175,              0.0033175
                    138,                  3e-05,                      1,                      1,                0.26538,               0.003268,               0.003268,               0.003268
                    139,                  3e-05,                      1,                      1,                0.26538,              0.0032185,              0.0032185,              0.0032185
                    140,                  4e-05,                      1,                      1,                0.26538,               0.003169,               0.003169,               0.003169
                    141,                  1e-05,                      1,                      1,                0.26538,              0.0031195,              0.0031195,              0.0031195
                    142,                  4e-05,                      1,                      1,                0.26538,                0.00307,                0.00307,                0.00307
                    143,                  4e-05,                      1,                      1,                0.26538,              0.0030205,              0.0030205,              0.0030205
                    144,                  1e-05,                      1,                      1,                0.26538,               0.002971,               0.002971,               0.002971
